avar_link_mk;Panel;LW_Bit;2000:00;Нет связи с МК;Неопределенный
avar_dehum;Panel;LW_Bit;2000:01;Влажность не вышла на заданный режим;Неопределенный
avar_not_ready;Panel;LW_Bit;2000:02;Нет готовности в режиме останов;Неопределенный
avar_not_link_sensors_in_dehum;Panel;LW_Bit;2000:03;Нет связи с датчиками параметров воздуха в режиме Осушение;Неопределенный
avar_te_TEHcondenser_out_of_range;Panel;LW_Bit;2000:04;Температура испарителя вне заданных пределах;Неопределенный
avar_te_TEHair_out_of_range;Panel;LW_Bit;2000:05;Температура воздуха испарителя вне заданных пределах;Неопределенный
avar_M1_out_of_range;Panel;LW_Bit;2000:06;В режиме деконтаминация отказ М1 (обороты = 0);Неопределенный
avar2_te_TEHcondenser_out_of_range;Panel;LW_Bit;2001:00;Температура испарителя вне заданных пределов;Неопределенный
avar2_te_TEHair_out_of_range;Panel;LW_Bit;2001:01;Температура воздуха ТЭН вне заданных пределов;Неопределенный
avar2_not_concentration_gaining;Panel;LW_Bit;2001:02;Нет выхода на требуемую концентрацию;Неопределенный
avar2_not_prelim_concentration_gaining;Panel;LW_Bit;2001:03;Нет предварительного выхода на концентрацию;Неопределенный
avar2_rpm_M1_out_of_range;Panel;LW_Bit;2001:04;Обороты вентилятора М1 ниже допустимого диапазона;Неопределенный
avar2_rpm_M2_out_of_range;Panel;LW_Bit;2001:05;Обороты вентилятора М2 ниже допустимого диапазона;Неопределенный
avar2_concentration_out_of_range;Panel;LW_Bit;2001:06;Концентрация не соответсвует диапазону в режиме поддержания концентрации;Неопределенный
avar2_Y1_fall;Panel;LW_Bit;2001:07;Концевики заслонки не соответствуют управляющему сигналу;Неопределенный
avar2_Y2_fall;Panel;LW_Bit;2001:08;Концевики заслонки не соответствуют управляющему сигналу;Неопределенный
avar2_concentration_in_desactivation;Panel;LW_Bit;2001:09;Концентрация перекиси не падает до необходимого уровня в дезактивации;Неопределенный
avar2_not_link_sensors;Panel;LW_Bit;2001:10;Нет связи с датчиками параметров воздуха;Неопределенный
avar2_ts;Panel;LW_Bit;2001:11;Сработка термостата испарителя;Неопределенный
avar2_max_count_start_ext_dehum;Panel;LW_Bit;2001:12;Превышение количества запусков режима доп.осушение;Неопределенный
avar2_mode_ext_dehum_time_exceeded;Panel;LW_Bit;2001:13;Превышение времени нахождения в режиме доп.осушение;Неопределенный
avar3_link_sensor_te_air;Panel;LW_Bit;2002:00;КЗ или обрыв аналогового входа;Неопределенный
avar3_link_sensor_humidity;Panel;LW_Bit;2002:01;КЗ или обрыв аналогового входа;Неопределенный
avar3_link_sensor_concentration;Panel;LW_Bit;2002:02;КЗ или обрыв аналогового входа;Неопределенный
avar3_link_te_TEH_air;Panel;LW_Bit;2002:03;КЗ или обрыв аналогового входа;Неопределенный
avar3_link_te_TEH_condenser;Panel;LW_Bit;2002:04;КЗ или обрыв аналогового входа;Неопределенный
